analysis,delta_intervention_driver_locking_plv,delta_intervention_mean_R1,frequency_hz,replicate,scan_value
delay_scan,,0.0004990527682968426,14.3,13,0.25
delay_scan,,-0.03447562544879154,14.3,14,0.25
delay_scan,,0.006345130392709286,14.3,15,0.25
delay_scan,,-0.007251508283266539,14.3,16,0.25
delay_scan,,-0.019072431021446443,14.3,17,0.25
delay_scan,,-0.016747860643543472,14.3,18,0.25
delay_scan,,-0.03510788183627478,14.3,19,0.25
delay_scan,,-0.00327236385486529,14.3,20,0.25
delay_scan,,0.017494103380268605,14.3,21,0.25
delay_scan,,-0.005509949529627273,14.3,22,0.25
delay_scan,,-0.0006837754170337107,14.3,23,0.25
delay_scan,,-0.03788590482943176,20.8,0,0.25
