K_cycles_per_s,analysis,condition,delta_intervention_driver_locking_plv,delta_intervention_mean_R1,delta_intervention_mean_R2,delta_intervention_mean_R4,frequency_hz,phase_offset_deg,post_driver_recovery_mean_R1,replicate,test_driver_locking_plv,test_lock_fraction,test_longest_lock_run_s,test_mean_R1
,external_driver_phase_disruption,,0.13335295889182713,0.13073941090400126,0.04157853446177312,0.011718932592109294,10.0,30,,13,,,,
,external_driver_phase_disruption,,0.23405117276025325,0.22095485793137815,-0.0053218300783547945,0.034801935144577384,10.0,30,,14,,,,
,external_driver_phase_disruption,,0.15709937531293078,0.14407226549888852,-0.0035252565858791968,0.018967874572580534,10.0,30,,15,,,,
,external_driver_phase_disruption,,0.1505790487448318,0.1356534538914918,0.050118428083765654,-0.0070656816427412394,10.0,30,,16,,,,
,external_driver_phase_disruption,,0.12791004630821506,0.12540761156893926,0.08276063984360271,-0.024669895946138318,10.0,30,,17,,,,
,external_driver_phase_disruption,,0.14338108279694492,0.10642269816353506,-0.008661608054742101,0.0021399937404997516,10.0,30,,18,,,,
,external_driver_phase_disruption,,0.2216834245264917,0.2003340781941659,0.04033421834791816,0.008010622369421586,10.0,30,,19,,,,
,external_driver_phase_disruption,,0.1186796771609045,0.11218171651861758,0.050996802587261664,-0.0053912195077724795,10.0,30,,20,,,,
,external_driver_phase_disruption,,0.13858921155142223,0.12952801083337306,0.05781085674557815,-0.003690283266405206,10.0,30,,21,,,,
,external_driver_phase_disruption,,0.14990735630362556,0.1432559807900355,0.05533563285937103,0.017984806795242142,10.0,30,,22,,,,
,external_driver_phase_disruption,,0.17089596472097945,0.1409927228153737,0.008810324582066528,0.004099298960932071,10.0,30,,23,,,,
,external_driver_phase_disruption,,0.19829025605827272,0.1865709258840031,0.04466849513809505,-0.0036868469228292094,14.3,30,,0,,,,
,external_driver_phase_disruption,,0.14952456365445782,0.1481057930248746,0.05217166902586812,-0.010208265718012588,14.3,30,,1,,,,
,external_driver_phase_disruption,,0.1990355607918658,0.18329635603005365,0.005522046511422032,-0.03649002802353403,14.3,30,,2,,,,
,external_driver_phase_disruption,,0.2208797153725886,0.2015832464547998,0.0319817584285359,-0.02233945267714056,14.3,30,,3,,,,
,external_driver_phase_disruption,,0.2174228523193791,0.1835931263419172,0.03382329646986765,-0.009151619875208308,14.3,30,,4,,,,
,external_driver_phase_disruption,,0.1467999358792456,0.1361132629267059,0.07585540898937108,-0.01249692682334326,14.3,30,,5,,,,
,external_driver_phase_disruption,,0.0842916662317433,0.07078548757144368,0.007495847610986914,0.032773622935670516,14.3,30,,6,,,,
,external_driver_phase_disruption,,0.11170620071679058,0.09799564761689183,0.0017960531514644162,0.0025648464130536286,14.3,30,,7,,,,
,external_driver_phase_disruption,,0.2482052671534744,0.21123310587930128,-0.00962349631985375,0.020523284765238944,14.3,30,,8,,,,
,external_driver_phase_disruption,,0.21231418532396337,0.17158850305734866,0.014372657624582147,0.019282849933290047,14.3,30,,9,,,,
,external_driver_phase_disruption,,0.26652614648941986,0.2532487134910313,0.044762190905450305,0.02876521078773242,14.3,30,,10,,,,
