K_cycles_per_s,analysis,ci95_halfwidth,ci95_high,ci95_low,condition,mean,metric,n,phase_offset_deg,sd,sem
,driver_maintenance,0.005728046038357745,0.012585684927246633,0.0011295928505311442,far_detuned_driver,0.006857638888888889,test_longest_lock_run_s,24,,0.013565115799230682,0.002768967667490133
,driver_maintenance,0.00010356829073680877,0.010242130009279073,0.010034993427805457,far_detuned_driver,0.010138561718542265,test_driver_locking_plv,24,,0.0002452696517390417,5.006545801256541e-05
,driver_maintenance,0.003563564725740063,0.16332332963138366,0.15619620017990352,far_detuned_driver,0.1597597649056436,post_driver_recovery_mean_R1,24,,0.008439207338594823,0.001722645984425712
,driver_maintenance,0.005504430858920859,0.1720281537304892,0.16101929201264747,jittered_driver,0.16652372287156833,test_mean_R1,24,,0.013035552003267063,0.002660870910293282
,driver_maintenance,0.0004578621795053092,0.0010018436609867906,8.611930197617226e-05,jittered_driver,0.0005439814814814814,test_lock_fraction,24,,0.001084305790052339,0.00022133299256446787
,driver_maintenance,0.005494346154063711,0.012022123931841489,0.001033431623714067,jittered_driver,0.006527777777777778,test_longest_lock_run_s,24,,0.013011669480628069,0.002655995910773615
,driver_maintenance,0.0009704685913616179,0.009284236015332712,0.007343298832609476,jittered_driver,0.008313767423971094,test_driver_locking_plv,24,,0.0022982564618337026,0.0004691296357955678
,driver_maintenance,0.004254534909974159,0.16508396470442166,0.15657489488447335,jittered_driver,0.1608294297944475,post_driver_recovery_mean_R1,24,,0.010075557762488863,0.002056664616002992
,driver_maintenance,0.012774505782094022,0.2725789314657189,0.2470299199015308,matched_driver,0.25980442568362483,test_mean_R1,24,,0.030252489077711678,0.006175263474126241
,driver_maintenance,0.001644279563558941,0.004152960119114497,0.0008644009919966146,matched_driver,0.0025086805555555557,test_lock_fraction,24,,0.003893970568082308,0.0007948534137681
,driver_maintenance,0.013203076354547028,0.03410585413232481,0.007699701423230752,matched_driver,0.02090277777777778,test_longest_lock_run_s,24,,0.031267426702957166,0.006382436749343202
,driver_maintenance,0.015248450193070088,0.24435656736988018,0.21385966698374,matched_driver,0.2291081171768101,test_driver_locking_plv,24,,0.03611126573401305,0.007371181251198552
,driver_maintenance,0.00410657157235767,0.16453685240206586,0.15632370925735053,matched_driver,0.1604302808297082,post_driver_recovery_mean_R1,24,,0.009725152092672738,0.001985138358167353
,driver_maintenance,0.005551799440986406,0.1715624346901048,0.16045883580813197,near_detuned_driver,0.16601063524911838,test_mean_R1,24,,0.013147729925138083,0.0026837691327090984
,driver_maintenance,0.0004920029843745251,0.001150278447337488,0.00016627247858843784,near_detuned_driver,0.0006582754629629629,test_lock_fraction,24,,0.001165157788871579,0.0002378368377137384
,driver_maintenance,0.0058776326592895126,0.013759577103733956,0.0020043117851549306,near_detuned_driver,0.007881944444444443,test_longest_lock_run_s,24,,0.0139193657164567,0.0028412786290423764
,driver_maintenance,0.0005382375655704589,0.03735704351359165,0.03628056838245074,near_detuned_driver,0.03681880594802119,test_driver_locking_plv,24,,0.0012746501783621475,0.0002601868781279024
,driver_maintenance,0.0036650907313643846,0.16311630172394279,0.155786120261214,near_detuned_driver,0.1594512109925784,post_driver_recovery_mean_R1,24,,0.008679640466000713,0.0017717241910428793
,driver_maintenance,0.0057281402323967456,0.16861202750176368,0.15715574703697022,no_driver,0.16288388726936695,test_mean_R1,24,,0.013565338868849553,0.0027690132013854117
,driver_maintenance,0.0004812118814060146,0.001030980399924533,6.855663711250397e-05,no_driver,0.0005497685185185186,test_lock_fraction,24,,0.0011396023795070208,0.00023262036162114588
,driver_maintenance,0.005774542576872175,0.012371764799094397,0.0008226796453500475,no_driver,0.006597222222222222,test_longest_lock_run_s,24,,0.01367522855408425,0.0027914443394537504
,driver_maintenance,nan,nan,nan,no_driver,nan,test_driver_locking_plv,0,,nan,nan
,driver_maintenance,0.003551256065854232,0.16333754013217033,0.15623502800046185,no_driver,0.1597862840663161,post_driver_recovery_mean_R1,24,,0.008410058062285494,0.0017166959133149409
