analysis,natural_frequency_sd_hz,condition,network,network_frequency_hz,replicate,base_mean_R,stimulated_mean_R,delta_mean_R,coarse_dt_s,fine_dt_s,coarse_delta_mean_R,fine_delta_mean_R,fine_minus_coarse_delta_mean_R,absolute_delta_difference,stimulated_R_trace_rmse,scenario,n_oscillators,duration_s,baseline_delta_mean_R,delta_mean_R_minus_baseline
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,17,0.8732757399722307,0.9210567888144751,0.04778104884224432,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,18,0.8364081111934942,0.900795298125581,0.06438718693208678,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,19,0.7947650124877034,0.8882352848746109,0.09347027238690753,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,20,0.8457455421744146,0.9148540503758609,0.06910850820144632,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,21,0.7681097748889424,0.8755508743837581,0.10744109949481573,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,22,0.8483151953743135,0.8914128237771164,0.043097628402802846,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_27_30Hz,27.3,23,0.8211042841853794,0.8999122291122262,0.07880794492684684,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,0,0.9015923494670031,0.9339632979049052,0.032370948437902114,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,1,0.8165717978491901,0.890686990331339,0.07411519248214893,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,2,0.7983288844597286,0.8942211428725972,0.09589225841286864,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,3,0.828804152381549,0.8950955244219762,0.06629137204042712,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,4,0.8403145882105048,0.9061030241198202,0.06578843590931549,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,5,0.7083352521582603,0.895984902417602,0.18764965025934166,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,6,0.8201703647388817,0.9115869626486764,0.09141659790979473,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_33_80Hz,33.8,7,0.8522670871483176,0.9133903327018038,0.06112324555348625,,,,,,,,,,,,
