mean_R,max_R,lock_fraction_R_ge_0_55,strong_lock_fraction_R_ge_0_70,stimulus_plv,network,network_frequency_hz,replicate,condition,detuning_hz,coupling_multiplier,forcing_multiplier,base_k_cycles_per_s,forcing_strength_cycles_per_s,effective_k_cycles_per_s,effective_forcing_cycles_per_s,duration_s,dt,burn_in_s,n_oscillators
0.26319790089766365,0.46361633484753983,0.0,0.0,0.2069624595494564,network_10_00Hz,10.0,9,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.16057848096470873,0.34511340901770804,0.0,0.0,0.03883757229979616,network_10_00Hz,10.0,9,NEAR_DETUNED,2.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1593277739756725,0.35440439400242235,0.0,0.0,,network_10_00Hz,10.0,9,NO_STIMULUS,0.0,1.0,1.0,0.72,0.12,0.72,0.0,12.0,0.005,2.0,96
0.17552806299224233,0.36883364107105293,0.0,0.0,0.010596999991291853,network_10_00Hz,10.0,9,SHARED_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.3097114179843102,0.5516991187719368,0.004,0.0,0.28010668376204884,network_10_00Hz,10.0,10,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.2150873118633152,0.47214375500733646,0.0,0.0,0.010650860469653314,network_10_00Hz,10.0,10,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.2548529991173518,0.4950738764156826,0.0,0.0,0.014799233299099157,network_10_00Hz,10.0,10,HIGH_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.2272268375513726,0.4409646649518393,0.0,0.0,0.00972900874783242,network_10_00Hz,10.0,10,INDEPENDENT_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.30275240865251407,0.5646191896115932,0.003,0.0,0.15050051721264893,network_10_00Hz,10.0,10,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.21421916093510954,0.45410526543672763,0.0,0.0,0.03439019994032633,network_10_00Hz,10.0,10,NEAR_DETUNED,2.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
