analysis,mean_R,max_R,lock_fraction_R_ge_0_55,strong_lock_fraction_R_ge_0_70,stimulus_plv,network,network_frequency_hz,replicate,condition,detuning_hz,coupling_multiplier,forcing_multiplier,base_k_cycles_per_s,forcing_strength_cycles_per_s,effective_k_cycles_per_s,effective_forcing_cycles_per_s,duration_s,dt,burn_in_s,n_oscillators,base_mean_R,base_max_R,base_lock_fraction_R_ge_0_55,base_strong_lock_fraction_R_ge_0_70,delta_mean_R,delta_max_R,delta_lock_fraction_R_ge_0_55,delta_strong_lock_fraction_R_ge_0_70,stimulated_mean_R,coupling_strength_K_cycles_per_s,jitter_level
condition_comparison,0.23397207133980913,0.49329630008868386,0.0,0.0,0.20281617448115147,network_20_80Hz,20.8,2,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.19223370617439933,0.3820311423797528,0.0,0.0,0.041738365165409796,0.11126515770893108,0.0,0.0,,,
condition_comparison,0.3149509709589421,0.47322379421587674,0.0,0.0,0.30547423570007093,network_20_80Hz,20.8,3,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1527525801627014,0.2802173318979811,0.0,0.0,0.16219839079624068,0.19300646231789564,0.0,0.0,,,
condition_comparison,0.21659249854987497,0.41822663005835303,0.0,0.0,0.1799189885712032,network_20_80Hz,20.8,4,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16426037065251314,0.35290685943184047,0.0,0.0,0.05233212789736183,0.06531977062651256,0.0,0.0,,,
condition_comparison,0.18129367807413546,0.4746489720507836,0.0,0.0,0.15025398129570028,network_20_80Hz,20.8,5,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.12136737258315493,0.27505795085673623,0.0,0.0,0.05992630549098053,0.19959102119404737,0.0,0.0,,,
condition_comparison,0.2969771139761093,0.47754662933480213,0.0,0.0,0.2775483473713908,network_20_80Hz,20.8,6,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.13688764594968822,0.31117487985929776,0.0,0.0,0.1600894680264211,0.16637174947550437,0.0,0.0,,,
condition_comparison,0.24359801738267267,0.46258697230711676,0.0,0.0,0.23018908738413413,network_20_80Hz,20.8,7,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.15863053100031177,0.2927482193314762,0.0,0.0,0.0849674863823609,0.16983875297564055,0.0,0.0,,,
condition_comparison,0.2972998995443128,0.4756249302546645,0.0,0.0,0.28277241238206263,network_20_80Hz,20.8,8,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16098422086839093,0.33832857502642005,0.0,0.0,0.13631567867592187,0.13729635522824446,0.0,0.0,,,
condition_comparison,0.38800075434844417,0.5228848532721126,0.0,0.0,0.38379559864324436,network_20_80Hz,20.8,9,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.18793244235459464,0.3395419061902709,0.0,0.0,0.20006831199384953,0.18334294708184173,0.0,0.0,,,
condition_comparison,0.3499232625962113,0.48802916904436644,0.0,0.0,0.3436773961171084,network_20_80Hz,20.8,10,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16040967780677556,0.3591544255344762,0.0,0.0,0.18951358478943575,0.12887474350989025,0.0,0.0,,,
condition_comparison,0.23354146906755488,0.516201302095144,0.0,0.0,0.20116654216697905,network_20_80Hz,20.8,11,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16988237129282532,0.39021992073517364,0.0,0.0,0.06365909777472956,0.1259813813599704,0.0,0.0,,,
